,0
Atlanta Industrial Park_403428,131210082024001
West Manor_269458,131210079003036
Virginia Highland_275890,131210013001015
Atlanta University Center_403158,131210042002003
Chosewood Park_403172,131210067003004
Mt. Paran Pkwy_403401,131210098022007
Lindbergh_403406,131210092001011
Marietta Street Artery_403424,131210118002039
Lindridge - Martin Manor_403426,131210092001031
Brookview Heights_403431,131210082013015
Bankhead-Bolton_403433,131210082024004
Harland Terrace_403440,131210081023011
Old Fairburn Village_403449,131210078021024
Mt. Gilead Woods_403451,131210077032015
Mellwood_403456,131210077061006
Sandlewood Estates_403458,131210103031000
The Villages at Castleberry Hill_403467,131210043001000
Lake Claire_269361,130890206002004
Edgewood_273604,130890209001008
Morningside - Lenox Park_274592,131210004002000
Joyland_269354,131210065001011
Lincoln Homes_269368,131210086021000
Paces_269402,130670312051012
Mozley Park_269386,131210081021013
Randall Mill_269420,131210097001018
Capitol Gateway_403468,131210120001030
High Point_403473,131210065001011
Lakewood_403475,131210070012001
Ormewood Park_274926,131210069003017
The Villages at East Lake_403447,130890237002002
Perkerson_403474,131210110004001
Swallow Circle - Baywood_403476,131210070011013
Southwest_269436,131210077061001
Springlake_269437,131210090003005
Venetian Hills_269451,131210076022005
Mt. Paran - Northside_403400,131210097001015
Carey Park_127590,131210086021003
Brookwood_127423,131210089022015
Brookhaven_127407,131210100023023
Ben Hill_127120,131210103041031
Thomasville Heights_132238,131210070024005
Pleasant Hill_131043,131210097002000
Dixie Hills_128253,131210081024005
Center Hill_127692,131210082011020
Ansley Park_126858,131210011001006
Kings Forest_129680,131210077062003
Carroll Heights_269289,131210078051000
Chastain Park_269298,131210098021013
Collier Heights_269300,131210078071012
Englewood Manor_269314,131210064001003
Florida Heights_269323,131210081022000
Garden Hills_269325,131210093003007
Grant Park_269330,131210055012012
Greenbriar_269332,131210113031020
Harris Chiles_269339,131210042002019
Just Us_269355,131210039001004
Leila Valley_269366,131210073001009
Magnum Manor_269373,131210077043002
Memorial Park_269380,131210090002002
Monroe Heights_269382,131210086022016
Niskey Lake_269389,131210078022001
North Buckhead_269391,131210095021005
Peachtree Heights East_269405,131210095012000
Peachtree Hills_269407,131210091022009
Peyton Forest_269414,131210079001001
Pittsburgh_269416,131210065003008
Ridgedale Park_269425,131210096022007
South Atlanta_269432,131210067003008
South Tuxedo Park_269434,131210095013001
Summerhill_269439,131210120001091
Westwood Terrace_269464,131210080005003
Whitewater Creek_269466,131210098022035
Inman Park_272817,131210119001012
Mechanicsville_274487,131210063002017
Sandtown-Southeastern Atlanta_275298,131210077062007
Sweet Auburn_276600,131210035001013
South River Gardens_403173,130630403021006
Benteen Park_403471,131210068011000
Cluster - McDonough - Guice_403472,131210068021001
Collier Hills_269301,131210089022005
Wesley Battle_403407,131210089043019
Westminster - Milmar_403409,131210097002015
Peachtree Battle Alliance_403414,131210090001012
Capitol View_269287,131210066012003
East Lake_128381,130890237003000
Kirkwood_129705,130890209002000
Whittier Mill Village_403418,131210087001010
West Highlands_403432,131210086012004
Old Gordon_403434,131210078051021
Wildwood_403439,131210078062007
Green Forest Acres_403443,131210079003041
Ashley Courts_403448,131210078021005
Cascade Green_403450,131210078021024
Niskey Cove_403457,131210078022012
West View_403466,131210080005000
Kingswood_129694,131210098012005
Argonne Forest_269244,131210098013003
Arlington Estates_269245,131210103031039
Ashview Heights_269246,131210041001009
Beecher Hills_269261,131210080005009
Ben Hill Acres_269262,131210077061006
Browns Mill Park_269276,131210074001010
Buckhead Forest_269277,131210095023002
Buckhead Village_269278,131210096033004
Bush Mountain_269279,131210061002002
Castleberry Hill_269293,131210044001004
Castlewood_269294,131210098013011
Chalet Woods_269296,131210081022002
East Ardley Road_269309,131210079003043
East Chastain Park_269311,131210099002009
Elmco Estates_269313,131210103031035
Glenrose Heights_269329,131210072002021
Home Park_269345,131210118002000
Hunter Hills_269346,131210040001009
Meadowbrook Forest_269378,131210077061003
Norwood Manor_269393,131210070013007
Oakcliff_269395,131210078071012
Oakland City_269396,131210076021000
Penelope Neighbors_269410,131210081021008
Peoplestown_269411,131210063001043
Ridgewood Heights_269426,131210089031011
Rosedale Heights_269427,131210073003005
Rue Royal_269428,131210077061009
