census_key,FIPS,Tract,Block,Tract_block
33.751999999999995_-84.302,130890208023009.00,'020802','3009','020802':'3009'
33.686_-84.391,131210070011025.00,'007001','1025','007001':'1025'
33.755_-84.31700000000001,130890208011005.00,'020801','1005','020801':'1005'
33.666_-84.492,131210113031011.00,'011303','1011','011303':'1011'
33.843_-84.35,131210094042014.00,'009404','2014','009404':'2014'
33.703_-84.473,131210076023007.00,'007602','3007','007602':'3007'
33.766_-84.415,131210023002010.00,'002300','2010','002300':'2010'
33.666_-84.37700000000001,131210073001022.00,'007300','1022','007300':'1022'
33.775999999999996_-84.507,131210082022002.00,'008202','2002','008202':'2002'
33.698_-84.49799999999999,131210077043021.00,'007704','3021','007704':'3021'
33.769_-84.40899999999999,131210118001010.00,'011800','1010','011800':'1010'
33.724000000000004_-84.40799999999999,131210058001047.00,'005800','1047','005800':'1047'
33.701_-84.45100000000001,131210076031004.00,'007603','1004','007603':'1004'
33.839_-84.369,131210096023017.00,'009602','3017','009602':'3017'
33.73_-84.384,131210055012001.00,'005501','2001','005501':'2001'
33.799_-84.477,131210087003012.00,'008700','3012','008700':'3012'
33.745_-84.459,131210081021013.00,'008102','1013','008102':'1013'
33.696999999999996_-84.524,131210078021005.00,'007802','1005','007802':'1005'
33.844_-84.39,131210095023000.00,'009502','3000','009502':'3000'
33.731_-84.43700000000001,131210061001004.00,'006100','1004','006100':'1004'
33.751999999999995_-84.367,131210032001025.00,'003200','1025','003200':'1025'
33.812_-84.478,131210088002026.00,'008800','2026','008800':'2026'
33.801_-84.39200000000001,131210091023000.00,'009102','3000','009102':'3000'
33.765_-84.493,131210078072003.00,'007807','2003','007807':'2003'
33.753_-84.32799999999999,130890207001011.00,'020700','1011','020700':'1011'
33.795_-84.415,131210089023007.00,'008902','3007','008902':'3007'
33.814_-84.34899999999999,131210092002006.00,'009200','2006','009200':'2006'
33.754_-84.477,131210081024006.00,'008102','4006','008102':'4006'
33.755_-84.39200000000001,131210119002049.00,'011900','2049','011900':'2049'
33.836_-84.383,131210095022000.00,'009502','2000','009502':'2000'
33.778_-84.36399999999999,131210014002004.00,'001400','2004','001400':'2004'
33.805_-84.413,131210089024009.00,'008902','4009','008902':'4009'
33.756_-84.444,131210084003005.00,'008400','3005','008400':'3005'
33.745_-84.411,131210043001000.00,'004300','1000','004300':'1000'
33.784_-84.35600000000001,131210002004014.00,'000200','4014','000200':'4014'
33.851_-84.42399999999999,131210098012005.00,'009801','2005','009801':'2005'
33.7_-84.381,131210070023005.00,'007002','3005','007002':'3005'
33.747_-84.307,130890208024009.00,'020802','4009','020802':'4009'
33.725_-84.405,131210063001022.00,'006300','1022','006300':'1022'
33.701_-84.53,131210078022012.00,'007802','2012','007802':'2012'
33.741_-84.43,131210041002005.00,'004100','2005','004100':'2005'
33.692_-84.351,131210071001011.00,'007100','1011','007100':'1011'
33.689_-84.352,131210071001020.00,'007100','1020','007100':'1020'
33.772_-84.419,131210007002035.00,'000700','2035','000700':'2035'
33.75_-84.514,131210078063005.00,'007806','3005','007806':'3005'
33.718_-84.38,131210055021001.00,'005502','1001','005502':'1001'
33.668_-84.37899999999999,131210073001022.00,'007300','1022','007300':'1022'
33.701_-84.419,131210075004000.00,'007500','4000','007500':'4000'
33.755_-84.49,131210078082000.00,'007808','2000','007808':'2000'
33.749_-84.441,131210040002001.00,'004000','2001','004000':'2001'
33.808_-84.399,131210091012001.00,'009101','2001','009101':'2001'
33.812_-84.47200000000001,131210088002014.00,'008800','2014','008800':'2014'
33.732_-84.404,131210057001010.00,'005700','1010','005700':'1010'
33.768_-84.49799999999999,131210078071000.00,'007807','1000','007807':'1000'
33.695_-84.48299999999999,131210077052007.00,'007705','2007','007705':'2007'
33.731_-84.40799999999999,131210057001023.00,'005700','1023','005700':'1023'
33.683_-84.509,131210077061009.00,'007706','1009','007706':'1009'
33.804_-84.391,131210091021008.00,'009102','1008','009102':'1008'
33.821_-84.449,131210089031004.00,'008903','1004','008903':'1004'
33.7_-84.48,131210077041004.00,'007704','1004','007704':'1004'
33.76_-84.465,131210083012019.00,'008301','2019','008301':'2019'
33.728_-84.414,131210058001042.00,'005800','1042','005800':'1042'
33.731_-84.366,131210053001012.00,'005300','1012','005300':'1012'
33.664_-84.375,131210073001022.00,'007300','1022','007300':'1022'
33.78_-84.46600000000001,131210086012028.00,'008601','2028','008601':'2028'
33.705_-84.352,131210071002002.00,'007100','2002','007100':'2002'
33.719_-84.37799999999999,131210064001013.00,'006400','1013','006400':'1013'
33.75_-84.477,131210081024006.00,'008102','4006','008102':'4006'
33.735_-84.399,131210044001036.00,'004400','1036','004400':'1036'
33.775999999999996_-84.38799999999999,131210010012021.00,'001001','2021','001001':'2021'
33.766999999999996_-84.359,131210016001009.00,'001600','1009','001600':'1009'
33.736999999999995_-84.34,130890209002026.00,'020900','2026','020900':'2026'
33.763000000000005_-84.39200000000001,131210021001025.00,'002100','1025','002100':'1025'
33.768_-84.35,131210016001029.00,'001600','1029','001600':'1029'
33.749_-84.52799999999999,131210078052021.00,'007805','2021','007805':'2021'
33.765_-84.34100000000001,130890204001007.00,'020400','1007','020400':'1007'
33.751_-84.311,130890208022006.00,'020802','2006','020802':'2006'
33.735_-84.48899999999999,131210079003032.00,'007900','3032','007900':'3032'
33.739000000000004_-84.346,130890209002007.00,'020900','2007','020900':'2007'
33.755_-84.324,130890207001002.00,'020700','1002','020700':'1002'
33.754_-84.449,131210083022009.00,'008302','2009','008302':'2009'
33.753_-84.34200000000001,130890205002009.00,'020500','2009','020500':'2009'
33.739000000000004_-84.344,130890209002009.00,'020900','2009','020900':'2009'
33.838_-84.381,131210095023004.00,'009502','3004','009502':'3004'
33.804_-84.445,131210088001011.00,'008800','1011','008800':'1011'
33.760999999999996_-84.391,131210021001026.00,'002100','1026','002100':'1026'
33.775_-84.462,131210086013004.00,'008601','3004','008601':'3004'
33.691_-84.354,131210071001017.00,'007100','1017','007100':'1017'
33.784_-84.40799999999999,131210006001031.00,'000600','1031','000600':'1031'
33.775999999999996_-84.454,131210085002008.00,'008500','2008','008500':'2008'
33.81_-84.473,131210088002031.00,'008800','2031','008800':'2031'
33.736_-84.38600000000001,131210055011005.00,'005501','1005','005501':'1005'
33.755_-84.469,131210082011036.00,'008201','1036','008201':'1036'
33.749_-84.458,131210081021018.00,'008102','1018','008102':'1018'
33.675_-84.402,131210074001027.00,'007400','1027','007400':'1027'
33.746_-84.374,131210049002000.00,'004900','2000','004900':'2000'
33.685_-84.412,131210075002008.00,'007500','2008','007500':'2008'
33.764_-84.32,130890203003008.00,'020300','3008','020300':'3008'
33.848_-84.382,131210096012001.00,'009601','2001','009601':'2001'
33.676_-84.507,131210077061015.00,'007706','1015','007706':'1015'
33.765_-84.41799999999999,131210023002015.00,'002300','2015','002300':'2015'
33.689_-84.35799999999999,131210070022006.00,'007002','2006','007002':'2006'
33.739000000000004_-84.29799999999999,130890208024027.00,'020802','4027','020802':'4027'
33.707_-84.456,131210076032000.00,'007603','2000','007603':'2000'
33.755_-84.31299999999999,130890208011000.00,'020801','1000','020801':'1000'
33.751999999999995_-84.43,131210040001003.00,'004000','1003','004000':'1003'
33.724000000000004_-84.428,131210061002017.00,'006100','2017','006100':'2017'
33.747_-84.366,131210032001035.00,'003200','1035','003200':'1035'
33.714_-84.417,131210065002004.00,'006500','2004','006500':'2004'
33.736999999999995_-84.4,131210044001021.00,'004400','1021','004400':'1021'
33.766_-84.376,131210018001001.00,'001800','1001','001800':'1001'
33.708_-84.39299999999999,131210067003005.00,'006700','3005','006700':'3005'
33.751_-84.51899999999999,131210078061008.00,'007806','1008','007806':'1008'
33.765_-84.44,131210084003002.00,'008400','3002','008400':'3002'
33.683_-84.39299999999999,131210070011026.00,'007001','1026','007001':'1026'
33.786_-84.46700000000001,131210086012000.00,'008601','2000','008601':'2000'
33.717_-84.413,131210065004005.00,'006500','4005','006500':'4005'
33.827_-84.38,131210093004010.00,'009300','4010','009300':'4010'
33.739000000000004_-84.395,131210120001067.00,'012000','1067','012000':'1067'
33.732_-84.37299999999999,131210053002000.00,'005300','2000','005300':'2000'
33.825_-84.354,131210094022003.00,'009402','2003','009402':'2003'
33.801_-84.346,130890201001017.00,'020100','1017','020100':'1017'
33.672_-84.37100000000001,131210073001006.00,'007300','1006','007300':'1006'
33.823_-84.368,131210094021003.00,'009402','1003','009402':'1003'
33.747_-84.39200000000001,131210035001033.00,'003500','1033','003500':'1033'
33.779_-84.37,131210013002000.00,'001300','2000','001300':'2000'
33.747_-84.335,130890209001003.00,'020900','1003','020900':'1003'
33.728_-84.44200000000001,131210061003002.00,'006100','3002','006100':'3002'
33.76_-84.34200000000001,130890205001004.00,'020500','1004','020500':'1004'
33.751999999999995_-84.355,131210031001004.00,'003100','1004','003100':'1004'
33.663000000000004_-84.375,131210072002000.00,'007200','2000','007200':'2000'
33.808_-84.389,131210091021003.00,'009102','1003','009102':'1003'
33.676_-84.49600000000001,131210077051003.00,'007705','1003','007705':'1003'
33.762_-84.319,130890208012002.00,'020801','2002','020801':'2002'
33.735_-84.494,131210079002000.00,'007900','2000','007900':'2000'
33.713_-84.368,131210068011000.00,'006801','1000','006801':'1000'
33.713_-84.35,131210069001009.00,'006900','1009','006900':'1009'
33.743_-84.34200000000001,130890209001021.00,'020900','1021','020900':'1021'
33.711999999999996_-84.38,131210067001000.00,'006700','1000','006700':'1000'
33.754_-84.331,130890206002010.00,'020600','2010','020600':'2010'
33.815_-84.381,131210093002008.00,'009300','2008','009300':'2008'
33.743_-84.34700000000001,130890209001023.00,'020900','1023','020900':'1023'
33.736999999999995_-84.376,131210049002032.00,'004900','2032','004900':'2032'
33.819_-84.427,131210089041020.00,'008904','1020','008904':'1020'
33.814_-84.44200000000001,131210088001024.00,'008800','1024','008800':'1024'
33.76_-84.32799999999999,130890207001004.00,'020700','1004','020700':'1004'
33.802_-84.39200000000001,131210091023000.00,'009102','3000','009102':'3000'
33.688_-84.37799999999999,131210070013011.00,'007001','3011','007001':'3011'
33.762_-84.354,131210030002006.00,'003000','2006','003000':'2006'
33.806_-84.428,131210089021003.00,'008902','1003','008902':'1003'
33.854_-84.366,131210100023017.00,'010002','3017','010002':'3017'
33.693000000000005_-84.4,131210070011011.00,'007001','1011','007001':'1011'
33.751999999999995_-84.369,131210119001012.00,'011900','1012','011900':'1012'
33.722_-84.428,131210066021002.00,'006602','1002','006602':'1002'
33.741_-84.426,131210041002008.00,'004100','2008','004100':'2008'
33.692_-84.399,131210070011008.00,'007001','1008','007001':'1008'
33.747_-84.323,130890237004010.00,'023700','4010','023700':'4010'
33.686_-84.36,131210070022001.00,'007002','2001','007002':'2001'
33.725_-84.434,131210061002012.00,'006100','2012','006100':'2012'
33.785_-84.46,131210086011008.00,'008601','1008','008601':'1008'
33.703_-84.40899999999999,131210075001005.00,'007500','1005','007500':'1005'
33.823_-84.44200000000001,131210089043009.00,'008904','3009','008904':'3009'
33.739000000000004_-84.516,131210078062007.00,'007806','2007','007806':'2007'
33.769_-84.47200000000001,131210082011001.00,'008201','1001','008201':'1001'
33.711999999999996_-84.45200000000001,131210076021004.00,'007602','1004','007602':'1004'
33.725_-84.404,131210063001021.00,'006300','1021','006300':'1021'
33.717_-84.432,131210066021003.00,'006602','1003','006602':'1003'
33.801_-84.395,131210091014002.00,'009101','4002','009101':'4002'
33.742_-84.34700000000001,130890209001030.00,'020900','1030','020900':'1030'
33.792_-84.501,131210082024001.00,'008202','4001','008202':'4001'
33.855_-84.375,131210100011009.00,'010001','1009','010001':'1009'
33.711_-84.42200000000001,131210066011015.00,'006601','1015','006601':'1015'
33.713_-84.494,131210077043009.00,'007704','3009','007704':'3009'
33.75_-84.417,131210038001023.00,'003800','1023','003800':'1023'
33.751999999999995_-84.35799999999999,131210032001006.00,'003200','1006','003200':'1006'
33.759_-84.45299999999999,131210083021000.00,'008302','1000','008302':'1000'
33.75_-84.44200000000001,131210040002003.00,'004000','2003','004000':'2003'
33.717_-84.428,131210066021009.00,'006602','1009','006602':'1009'
33.714_-84.40799999999999,131210065002000.00,'006500','2000','006500':'2000'
33.747_-84.405,131210043002006.00,'004300','2006','004300':'2006'
33.78_-84.37899999999999,131210012011006.00,'001201','1006','001201':'1006'
33.708_-84.361,131210068021000.00,'006802','1000','006802':'1000'
33.754_-84.49,131210078082001.00,'007808','2001','007808':'2001'
33.673_-84.37,131210073001006.00,'007300','1006','007300':'1006'
33.754_-84.334,130890206002012.00,'020600','2012','020600':'2012'
33.681999999999995_-84.508,131210077061011.00,'007706','1011','007706':'1011'
33.801_-84.46799999999999,131210087002002.00,'008700','2002','008700':'2002'
33.83_-84.367,131210096023007.00,'009602','3007','009602':'3007'
33.808_-84.361,131210001003009.00,'000100','3009','000100':'3009'
33.744_-84.51299999999999,131210078062000.00,'007806','2000','007806':'2000'
33.741_-84.473,131210081022000.00,'008102','2000','008102':'2000'
33.735_-84.47200000000001,131210080005007.00,'008000','5007','008000':'5007'
33.758_-84.338,130890206002014.00,'020600','2014','020600':'2014'
33.743_-84.471,131210081022000.00,'008102','2000','008102':'2000'
33.736999999999995_-84.337,130890209003010.00,'020900','3010','020900':'3010'
33.79_-84.427,131210089021034.00,'008902','1034','008902':'1034'
33.748000000000005_-84.306,130890208022009.00,'020802','2009','020802':'2009'
33.821_-84.382,131210093003003.00,'009300','3003','009300':'3003'
33.828_-84.38600000000001,131210093004001.00,'009300','4001','009300':'4001'
33.681_-84.404,131210074001019.00,'007400','1019','007400':'1019'
33.796_-84.41799999999999,131210089021036.00,'008902','1036','008902':'1036'
33.739000000000004_-84.34899999999999,130890209002006.00,'020900','2006','020900':'2006'
33.751_-84.396,131210035002020.00,'003500','2020','003500':'2020'
33.769_-84.395,131210021001000.00,'002100','1000','002100':'1000'
33.739000000000004_-84.351,131210052003035.00,'005200','3035','005200':'3035'
33.771_-84.374,131210018002000.00,'001800','2000','001800':'2000'
33.754_-84.458,131210083021004.00,'008302','1004','008302':'1004'
33.729_-84.5,131210079003055.00,'007900','3055','007900':'3055'
33.765_-84.45200000000001,131210083011022.00,'008301','1022','008301':'1022'
33.666_-84.52,131210077063023.00,'007706','3023','007706':'3023'
33.707_-84.36,131210068021001.00,'006802','1001','006802':'1001'
33.809_-84.399,131210091013004.00,'009101','3004','009101':'3004'
33.747_-84.46799999999999,131210081022000.00,'008102','2000','008102':'2000'
33.773_-84.38799999999999,131210010012018.00,'001001','2018','001001':'2018'
33.731_-84.365,131210053001013.00,'005300','1013','005300':'1013'
33.714_-84.395,131210067002018.00,'006700','2018','006700':'2018'
33.713_-84.40700000000001,131210065001012.00,'006500','1012','006500':'1012'
33.716_-84.387,131210055021009.00,'005502','1009','005502':'1009'
33.753_-84.473,131210081024005.00,'008102','4005','008102':'4005'
33.715_-84.469,131210076023000.00,'007602','3000','007602':'3000'
33.725_-84.464,131210080005012.00,'008000','5012','008000':'5012'
33.809_-84.42,131210089024002.00,'008902','4002','008902':'4002'
33.759_-84.458,131210083021000.00,'008302','1000','008302':'1000'
33.729_-84.382,131210055012007.00,'005501','2007','005501':'2007'
33.855_-84.374,131210100011009.00,'010001','1009','010001':'1009'
33.731_-84.42399999999999,131210062001010.00,'006200','1010','006200':'1010'
33.722_-84.45700000000001,131210080005000.00,'008000','5000','008000':'5000'
33.713_-84.47399999999999,131210076023004.00,'007602','3004','007602':'3004'
33.727_-84.429,131210061002008.00,'006100','2008','006100':'2008'
33.733000000000004_-84.34899999999999,130890209002020.00,'020900','2020','020900':'2020'
33.724000000000004_-84.436,131210061002009.00,'006100','2009','006100':'2009'
33.68_-84.412,131210074002007.00,'007400','2007','007400':'2007'
33.721_-84.43,131210066021005.00,'006602','1005','006602':'1005'
33.67_-84.39200000000001,131210073002000.00,'007300','2000','007300':'2000'
33.762_-84.318,130890208012002.00,'020801','2002','020801':'2002'
33.739000000000004_-84.441,131210060002006.00,'006000','2006','006000':'2006'
33.704_-84.384,131210067003022.00,'006700','3022','006700':'3022'
33.721_-84.45299999999999,131210080004000.00,'008000','4000','008000':'4000'
33.714_-84.432,131210076033000.00,'007603','3000','007603':'3000'
33.663000000000004_-84.52,131210077063028.00,'007706','3028','007706':'3028'
33.726_-84.39,131210120002014.00,'012000','2014','012000':'2014'
33.778_-84.417,131210118002000.00,'011800','2000','011800':'2000'
33.705_-84.544,131210078022006.00,'007802','2006','007802':'2006'
33.775_-84.46799999999999,131210086013008.00,'008601','3008','008601':'3008'
33.726_-84.367,131210069003005.00,'006900','3005','006900':'3005'
33.727_-84.427,131210062001018.00,'006200','1018','006200':'1018'
33.751_-84.47200000000001,131210081024005.00,'008102','4005','008102':'4005'
33.735_-84.376,131210053002006.00,'005300','2006','005300':'2006'
33.676_-84.416,131210074002016.00,'007400','2016','007400':'2016'
33.736999999999995_-84.348,130890209002007.00,'020900','2007','020900':'2007'
33.760999999999996_-84.369,131210029001006.00,'002900','1006','002900':'1006'
33.757_-84.40799999999999,131210025002015.00,'002500','2015','002500':'2015'
33.79_-84.399,131210006001015.00,'000600','1015','000600':'1015'
33.766999999999996_-84.32700000000001,130890203001007.00,'020300','1007','020300':'1007'
33.755_-84.331,130890206002010.00,'020600','2010','020600':'2010'
33.849000000000004_-84.40700000000001,131210099003006.00,'009900','3006','009900':'3006'
33.85_-84.363,131210100023027.00,'010002','3027','010002':'3027'
33.787_-84.38,131210004002016.00,'000400','2016','000400':'2016'
33.757_-84.40100000000001,131210026001003.00,'002600','1003','002600':'1003'
33.756_-84.402,131210026001013.00,'002600','1013','002600':'1013'
33.753_-84.316,130890208011011.00,'020801','1011','020801':'1011'
33.759_-84.508,131210078063010.00,'007806','3010','007806':'3010'
33.847_-84.42200000000001,131210098012003.00,'009801','2003','009801':'2003'
33.829_-84.40899999999999,131210098013004.00,'009801','3004','009801':'3004'
33.774_-84.414,131210118002017.00,'011800','2017','011800':'2017'
33.739000000000004_-84.348,130890209002007.00,'020900','2007','020900':'2007'
33.793_-84.40899999999999,131210089023007.00,'008902','3007','008902':'3007'
33.771_-84.355,131210016001003.00,'001600','1003','001600':'1003'
33.681999999999995_-84.50399999999999,131210077061017.00,'007706','1017','007706':'1017'
33.852_-84.41799999999999,131210098021017.00,'009802','1017','009802':'1017'
33.841_-84.35600000000001,131210094041001.00,'009404','1001','009404':'1001'
33.772_-84.50399999999999,131210082021004.00,'008202','1004','008202':'1004'
33.8_-84.36,131210001003013.00,'000100','3013','000100':'3013'
33.747_-84.337,130890209001004.00,'020900','1004','020900':'1004'
33.755_-84.406,131210026001040.00,'002600','1040','002600':'1040'
33.728_-84.38,131210055012010.00,'005501','2010','005501':'2010'
33.769_-84.43700000000001,131210085001006.00,'008500','1006','008500':'1006'
33.757_-84.37700000000001,131210028002001.00,'002800','2001','002800':'2001'
33.67_-84.368,131210073001006.00,'007300','1006','007300':'1006'
33.681_-84.398,131210073003004.00,'007300','3004','007300':'3004'
33.711999999999996_-84.382,131210067001005.00,'006700','1005','006700':'1005'
33.753_-84.501,131210078081007.00,'007808','1007','007808':'1007'
33.76_-84.32,130890208012013.00,'020801','2013','020801':'2013'
33.728_-84.412,131210058001043.00,'005800','1043','005800':'1043'
33.724000000000004_-84.421,131210066011001.00,'006601','1001','006601':'1001'
33.762_-84.416,131210025001004.00,'002500','1004','002500':'1004'
33.842_-84.398,131210099003012.00,'009900','3012','009900':'3012'
33.711999999999996_-84.42,131210066011014.00,'006601','1014','006601':'1014'
33.838_-84.39200000000001,131210095013008.00,'009501','3008','009501':'3008'
33.762_-84.421,131210024001011.00,'002400','1011','002400':'1011'
33.8_-84.477,131210087003011.00,'008700','3011','008700':'3011'
33.75_-84.51799999999999,131210078061008.00,'007806','1008','007806':'1008'
33.773_-84.389,131210010012011.00,'001001','2011','001001':'2011'
33.702_-84.412,131210075001006.00,'007500','1006','007500':'1006'
33.701_-84.405,131210075001002.00,'007500','1002','007500':'1002'
33.756_-84.49799999999999,131210078081001.00,'007808','1001','007808':'1001'
33.699_-84.40899999999999,131210075001005.00,'007500','1005','007500':'1005'
33.735_-84.431,131210060004011.00,'006000','4011','006000':'4011'
33.76_-84.45,131210083022007.00,'008302','2007','008302':'2007'
33.7_-84.455,131210076031005.00,'007603','1005','007603':'1005'
33.741_-84.527,131210078052028.00,'007805','2028','007805':'2028'
33.774_-84.374,131210013003005.00,'001300','3005','001300':'3005'
33.78_-84.417,131210118002000.00,'011800','2000','011800':'2000'
33.777_-84.382,131210012011012.00,'001201','1012','001201':'1012'
33.696999999999996_-84.381,131210070013000.00,'007001','3000','007001':'3000'
33.760999999999996_-84.324,130890203003013.00,'020300','3013','020300':'3013'
33.855_-84.366,131210100023017.00,'010002','3017','010002':'3017'
33.738_-84.415,131210042002022.00,'004200','2022','004200':'2022'
33.84_-84.39,131210095023001.00,'009502','3001','009502':'3001'
33.751999999999995_-84.417,131210038001012.00,'003800','1012','003800':'1012'
33.791_-84.395,131210005001046.00,'000500','1046','000500':'1046'
33.72_-84.406,131210065001001.00,'006500','1001','006500':'1001'
33.657_-84.369,131210073001019.00,'007300','1019','007300':'1019'
33.705999999999996_-84.454,131210076031002.00,'007603','1002','007603':'1002'
33.721_-84.53200000000001,131210078021005.00,'007802','1005','007802':'1005'
33.723_-84.53299999999999,131210078021005.00,'007802','1005','007802':'1005'
33.681_-84.37299999999999,131210073001004.00,'007300','1004','007300':'1004'
33.81_-84.48100000000001,131210088002021.00,'008800','2021','008800':'2021'
33.760999999999996_-84.316,130890208012010.00,'020801','2010','020801':'2010'
33.728_-84.40100000000001,131210063002006.00,'006300','2006','006300':'2006'
33.742_-84.29,130890208024019.00,'020802','4019','020802':'4019'
33.799_-84.488,131210086022015.00,'008602','2015','008602':'2015'
33.674_-84.4,131210074001025.00,'007400','1025','007400':'1025'
33.782_-84.366,131210002005011.00,'000200','5011','000200':'5011'
33.676_-84.40299999999999,131210074001023.00,'007400','1023','007400':'1023'
33.734_-84.385,131210055011013.00,'005501','1013','005501':'1013'
33.781_-84.475,131210086012024.00,'008601','2024','008601':'2024'
33.811_-84.37100000000001,131210092001032.00,'009200','1032','009200':'1032'
33.68_-84.376,131210073001004.00,'007300','1004','007300':'1004'
33.702_-84.376,131210070023008.00,'007002','3008','007002':'3008'
33.766999999999996_-84.436,131210084001002.00,'008400','1002','008400':'1002'
33.719_-84.405,131210065001002.00,'006500','1002','006500':'1002'
33.721_-84.435,131210080001001.00,'008000','1001','008000':'1001'
33.722_-84.531,131210078021005.00,'007802','1005','007802':'1005'
33.721_-84.446,131210080002002.00,'008000','2002','008000':'2002'
33.765_-84.478,131210082011006.00,'008201','1006','008201':'1006'
33.760999999999996_-84.445,131210083022002.00,'008302','2002','008302':'2002'
33.687_-84.385,131210070012004.00,'007001','2004','007001':'2004'
33.764_-84.455,131210083011016.00,'008301','1016','008301':'1016'
33.707_-84.37200000000001,131210070024000.00,'007002','4000','007002':'4000'
33.762_-84.441,131210084003003.00,'008400','3003','008400':'3003'
33.755_-84.359,131210030002025.00,'003000','2025','003000':'2025'
33.791_-84.427,131210089021033.00,'008902','1033','008902':'1033'
33.732_-84.338,130890209004009.00,'020900','4009','020900':'4009'
33.733000000000004_-84.43299999999999,131210061001002.00,'006100','1002','006100':'1002'
33.749_-84.425,131210039002005.00,'003900','2005','003900':'2005'
33.771_-84.39399999999999,131210021001000.00,'002100','1000','002100':'1000'
33.842_-84.35,131210094042014.00,'009404','2014','009404':'2014'
33.753_-84.33,130890207001010.00,'020700','1010','020700':'1010'
33.723_-84.42299999999999,131210062002005.00,'006200','2005','006200':'2005'
33.731_-84.385,131210055011022.00,'005501','1022','005501':'1022'
33.774_-84.448,131210085003035.00,'008500','3035','008500':'3035'
33.685_-84.411,131210075002008.00,'007500','2008','007500':'2008'
33.82_-84.35700000000001,131210092003008.00,'009200','3008','009200':'3008'
33.77_-84.416,131210023002001.00,'002300','2001','002300':'2001'
33.821999999999996_-84.38799999999999,131210095012011.00,'009501','2011','009501':'2011'
33.683_-84.506,131210077061005.00,'007706','1005','007706':'1005'
33.741_-84.505,131210079003001.00,'007900','3001','007900':'3001'
33.760999999999996_-84.33,130890203003029.00,'020300','3029','020300':'3029'
33.765_-84.335,130890203002003.00,'020300','2003','020300':'2003'
33.729_-84.537,131210078024000.00,'007802','4000','007802':'4000'
33.763000000000005_-84.471,131210082011023.00,'008201','1023','008201':'1023'
33.743_-84.434,131210040002012.00,'004000','2012','004000':'2012'
33.66_-84.37700000000001,131210072002000.00,'007200','2000','007200':'2000'
33.679_-84.38,131210073001004.00,'007300','1004','007300':'1004'
33.666_-84.495,131210113031011.00,'011303','1011','011303':'1011'
33.842_-84.391,131210095023000.00,'009502','3000','009502':'3000'
33.74_-84.344,130890209002001.00,'020900','2001','020900':'2001'
33.795_-84.382,131210005002010.00,'000500','2010','000500':'2010'
33.833_-84.383,131210096032003.00,'009603','2003','009603':'2003'
33.746_-84.34899999999999,130890209001007.00,'020900','1007','020900':'1007'
33.736999999999995_-84.355,131210052003032.00,'005200','3032','005200':'3032'
33.777_-84.37200000000001,131210013002010.00,'001300','2010','001300':'2010'
33.766999999999996_-84.329,130890203001006.00,'020300','1006','020300':'1006'
33.726_-84.359,131210069003000.00,'006900','3000','006900':'3000'
33.746_-84.375,131210049002001.00,'004900','2001','004900':'2001'
33.766999999999996_-84.32799999999999,130890203001007.00,'020300','1007','020300':'1007'
33.762_-84.44200000000001,131210083022000.00,'008302','2000','008302':'2000'
33.773_-84.36399999999999,131210014001010.00,'001400','1010','001400':'1010'
33.789_-84.376,131210004002002.00,'000400','2002','000400':'2002'
33.696_-84.531,131210078022012.00,'007802','2012','007802':'2012'
33.731_-84.35799999999999,131210052001012.00,'005200','1012','005200':'1012'
33.702_-84.462,131210076041000.00,'007604','1000','007604':'1000'
33.778_-84.37299999999999,131210013002008.00,'001300','2008','001300':'2008'
33.755_-84.39299999999999,131210119002013.00,'011900','2013','011900':'2013'
33.785_-84.374,131210004002009.00,'000400','2009','000400':'2009'
33.84_-84.414,131210098011009.00,'009801','1009','009801':'1009'
33.688_-84.35799999999999,131210070022005.00,'007002','2005','007002':'2005'
33.755_-84.432,131210024002013.00,'002400','2013','002400':'2013'
33.71_-84.416,131210065002006.00,'006500','2006','006500':'2006'
33.779_-84.37700000000001,131210013002004.00,'001300','2004','001300':'2004'
33.749_-84.416,131210038001032.00,'003800','1032','003800':'1032'
33.764_-84.334,130890203002013.00,'020300','2013','020300':'2013'
33.764_-84.374,131210018001000.00,'001800','1000','001800':'1000'
33.768_-84.396,131210021001000.00,'002100','1000','002100':'1000'
33.738_-84.435,131210060004000.00,'006000','4000','006000':'4000'
33.766_-84.412,131210023001005.00,'002300','1005','002300':'1005'
33.762_-84.448,131210083022003.00,'008302','2003','008302':'2003'
33.708_-84.384,131210067001023.00,'006700','1023','006700':'1023'
33.773_-84.473,131210086013016.00,'008601','3016','008601':'3016'
33.723_-84.42399999999999,131210062002010.00,'006200','2010','006200':'2010'
33.769_-84.488,131210082011018.00,'008201','1018','008201':'1018'
33.775_-84.501,131210082021003.00,'008202','1003','008202':'1003'
33.749_-84.34,130890205002032.00,'020500','2032','020500':'2032'
33.777_-84.46799999999999,131210086012027.00,'008601','2027','008601':'2027'
33.755_-84.464,131210083012017.00,'008301','2017','008301':'2017'
33.725_-84.37899999999999,131210055012012.00,'005501','2012','005501':'2012'
33.816_-84.425,131210089041013.00,'008904','1013','008904':'1013'
33.769_-84.41,131210118001009.00,'011800','1009','011800':'1009'
33.728_-84.42,131210062002000.00,'006200','2000','006200':'2000'
33.848_-84.367,131210100023028.00,'010002','3028','010002':'3028'
33.868_-84.35700000000001,131210100021019.00,'010002','1019','010002':'1019'
33.716_-84.35700000000001,131210069002000.00,'006900','2000','006900':'2000'
